date,region,resource_type,usage_cpu,usage_storage,users_active,econ_index,cloud_market_demand,holiday,day_of_week,month,quarter,is_weekend,cpu_usage_lag_1,storage_usage_lag_1,cpu_usage_lag_3,storage_usage_lag_3,cpu_usage_lag_7,storage_usage_lag_7,cpu_usage_rollmean_3,cpu_usage_rollmax_3,cpu_usage_rollmin_3,storage_usage_rollmean_3,storage_usage_rollmax_3,storage_usage_rollmin_3,cpu_usage_rollmean_7,cpu_usage_rollmax_7,cpu_usage_rollmin_7,storage_usage_rollmean_7,storage_usage_rollmax_7,storage_usage_rollmin_7,cpu_utilization_ratio,storage_efficiency
2023-01-01,eastus,Container,70,621,414,104.97,0.99,True,6,1,1,1,,,,,,,,,,,,,,,,,,,0.7070707070707071,0.3112781954887218
2023-01-01,northeurope,Container,82,959,221,104.97,0.99,True,6,1,1,1,,,,,,,,,,,,,,,,,,,0.8282828282828283,0.4853238866396761
2023-01-01,northeurope,Storage,51,1715,476,104.97,0.99,True,6,1,1,1,,,,,,,,,,,,,,,,,,,0.5204081632653061,0.8732179226069247
2023-01-01,northeurope,VM,73,1937,493,104.97,0.99,True,6,1,1,1,,,,,,,,,,,,,,,,,,,0.7373737373737373,0.9714142427281846
2023-01-01,eastus,Storage,92,1595,388,104.97,0.99,True,6,1,1,1,,,,,,,,,,,,,,,,,,,0.9292929292929292,0.8007028112449799
2023-01-01,westus,VM,60,1982,287,104.97,0.99,True,6,1,1,1,,,,,,,,,,,,,,,,,,,0.6060606060606061,0.9979859013091642
2023-01-01,southeastasia,Storage,76,1582,369,104.97,0.99,True,6,1,1,1,,,,,,,,,,,,,,,,,,,0.7676767676767676,0.8116983068240123
2023-01-01,southeastasia,VM,93,1356,248,104.97,0.99,True,6,1,1,1,,,,,,,,,,,,,,,,,,,0.9393939393939394,0.6834677419354839
2023-01-01,westus,Container,52,1832,457,104.97,0.99,True,6,1,1,1,,,,,,,,,,,,,,,,,,,0.5252525252525253,0.9224572004028198
2023-01-01,westus,Storage,85,1371,351,104.97,0.99,True,6,1,1,1,,,,,,,,,,,,,,,,,,,0.8585858585858586,0.6973550356052899
2023-01-01,southeastasia,Container,77,1199,470,104.97,0.99,True,6,1,1,1,,,,,,,,,,,,,,,,,,,0.7777777777777778,0.6028154851684263
2023-01-01,eastus,VM,88,1959,470,104.97,0.99,True,6,1,1,1,,,,,,,,,,,,,,,,,,,0.8888888888888888,0.983433734939759
2023-01-02,southeastasia,Container,53,1202,417,106.48,1.15,False,0,1,1,0,77.0,1199.0,,,,,,,,,,,,,,,,,0.5353535353535354,0.604323780794369
2023-01-02,eastus,VM,96,1457,250,106.48,1.15,False,0,1,1,0,88.0,1959.0,,,,,,,,,,,,,,,,,0.9696969696969696,0.731425702811245
2023-01-02,westus,VM,58,666,473,106.48,1.15,False,0,1,1,0,60.0,1982.0,,,,,,,,,,,,,,,,,0.5858585858585859,0.3353474320241691
2023-01-02,southeastasia,VM,66,1911,201,106.48,1.15,False,0,1,1,0,93.0,1356.0,,,,,,,,,,,,,,,,,0.6666666666666666,0.9632056451612904
2023-01-02,eastus,Storage,93,1767,330,106.48,1.15,False,0,1,1,0,92.0,1595.0,,,,,,,,,,,,,,,,,0.9393939393939394,0.8870481927710844
2023-01-02,westus,Container,99,1276,252,106.48,1.15,False,0,1,1,0,52.0,1832.0,,,,,,,,,,,,,,,,,1.0,0.6424974823766365
2023-01-02,northeurope,Storage,96,1455,463,106.48,1.15,False,0,1,1,0,51.0,1715.0,,,,,,,,,,,,,,,,,0.979591836734694,0.7408350305498982
2023-01-02,westus,Storage,53,1100,213,106.48,1.15,False,0,1,1,0,85.0,1371.0,,,,,,,,,,,,,,,,,0.5353535353535354,0.5595116988809766
2023-01-02,northeurope,VM,51,1863,291,106.48,1.15,False,0,1,1,0,73.0,1937.0,,,,,,,,,,,,,,,,,0.5151515151515151,0.9343029087261784
