date,region,resource_type,usage_cpu,usage_storage,users_active,econ_index,cloud_market_demand,holiday,day_of_week,month,quarter,is_weekend,cpu_usage_lag_1,storage_usage_lag_1,cpu_usage_lag_3,storage_usage_lag_3,cpu_usage_lag_7,storage_usage_lag_7,cpu_usage_rollmean_3,cpu_usage_rollmax_3,cpu_usage_rollmin_3,storage_usage_rollmean_3,storage_usage_rollmax_3,storage_usage_rollmin_3,cpu_usage_rollmean_7,cpu_usage_rollmax_7,cpu_usage_rollmin_7,storage_usage_rollmean_7,storage_usage_rollmax_7,storage_usage_rollmin_7,cpu_utilization_ratio,storage_efficiency
2023-01-01,eastus,Container,70,621,414,104.97,0.99,True,6,1,1,1,,,,,,,,,,,,,,,,,,,0.7070707070707071,0.3112781954887218
2023-01-02,eastus,Container,86,1146,220,106.48,1.15,False,0,1,1,0,70.0,621.0,,,,,,,,,,,,,,,,,0.8686868686868687,0.5744360902255639
2023-01-03,eastus,Container,57,1985,414,97.66,0.98,False,1,1,1,0,86.0,1146.0,,,,,71.0,86.0,57.0,1250.6666666666667,1985.0,621.0,,,,,,,0.5757575757575758,0.9949874686716792
2023-01-04,eastus,Container,57,1279,232,115.79,1.08,False,2,1,1,0,57.0,1985.0,70.0,621.0,,,66.66666666666667,86.0,57.0,1470.0,1985.0,1146.0,,,,,,,0.5757575757575758,0.6411027568922306
2023-01-05,eastus,Container,85,1024,359,95.31,1.05,False,3,1,1,0,57.0,1279.0,86.0,1146.0,,,66.33333333333333,85.0,57.0,1429.3333333333333,1985.0,1024.0,,,,,,,0.8585858585858586,0.5132832080200501
2023-01-06,eastus,Container,81,1995,432,95.37,0.95,False,4,1,1,0,85.0,1024.0,57.0,1985.0,,,74.33333333333333,85.0,57.0,1432.6666666666667,1995.0,1024.0,,,,,,,0.8181818181818182,1.0
2023-01-07,eastus,Container,55,1481,439,102.42,0.81,True,5,1,1,1,81.0,1995.0,57.0,1279.0,,,73.66666666666667,85.0,55.0,1500.0,1995.0,1024.0,70.14285714285714,86.0,55.0,1361.5714285714287,1995.0,621.0,0.5555555555555556,0.7423558897243108
2023-01-08,eastus,Container,81,1514,208,82.75,0.94,True,6,1,1,1,55.0,1481.0,85.0,1024.0,70.0,621.0,72.33333333333333,81.0,55.0,1663.3333333333333,1995.0,1481.0,71.71428571428571,86.0,55.0,1489.142857142857,1995.0,1024.0,0.8181818181818182,0.7588972431077694
2023-01-09,eastus,Container,97,1915,334,89.87,1.03,False,0,1,1,0,81.0,1514.0,81.0,1995.0,86.0,1146.0,77.66666666666667,97.0,55.0,1636.6666666666667,1915.0,1481.0,73.28571428571429,97.0,55.0,1599.0,1995.0,1024.0,0.9797979797979798,0.9598997493734336
2023-01-10,eastus,Container,86,779,380,90.92,0.86,False,1,1,1,0,97.0,1915.0,55.0,1481.0,57.0,1985.0,88.0,97.0,81.0,1402.6666666666667,1915.0,779.0,77.42857142857143,97.0,55.0,1426.7142857142858,1995.0,779.0,0.8686868686868687,0.3904761904761905
2023-01-11,eastus,Container,56,535,372,114.66,0.98,False,2,1,1,0,86.0,779.0,81.0,1514.0,57.0,1279.0,79.66666666666667,97.0,56.0,1076.3333333333333,1915.0,535.0,77.28571428571429,97.0,55.0,1320.4285714285713,1995.0,535.0,0.5656565656565656,0.2681704260651629
2023-01-12,eastus,Container,93,504,302,100.68,0.86,False,3,1,1,0,56.0,535.0,97.0,1915.0,85.0,1024.0,78.33333333333333,93.0,56.0,606.0,779.0,504.0,78.42857142857143,97.0,55.0,1246.142857142857,1995.0,504.0,0.9393939393939394,0.25263157894736843
2023-01-13,eastus,Container,71,1360,446,94.56,1.01,False,4,1,1,0,93.0,504.0,86.0,779.0,81.0,1995.0,73.33333333333333,93.0,56.0,799.6666666666666,1360.0,504.0,77.0,97.0,55.0,1155.4285714285713,1915.0,504.0,0.7171717171717171,0.681704260651629
2023-01-14,eastus,Container,65,1291,446,88.49,1.04,True,5,1,1,1,71.0,1360.0,56.0,535.0,55.0,1481.0,76.33333333333333,93.0,65.0,1051.6666666666667,1360.0,504.0,78.42857142857143,97.0,56.0,1128.2857142857142,1915.0,504.0,0.6565656565656566,0.6471177944862155
2023-01-15,eastus,Container,83,614,304,93.99,0.97,True,6,1,1,1,65.0,1291.0,93.0,504.0,81.0,1514.0,73.0,83.0,65.0,1088.3333333333333,1360.0,614.0,78.71428571428571,97.0,56.0,999.7142857142857,1915.0,504.0,0.8383838383838383,0.30776942355889725
2023-01-16,eastus,Container,97,1228,386,93.98,1.19,False,0,1,1,0,83.0,614.0,71.0,1360.0,97.0,1915.0,81.66666666666667,97.0,65.0,1044.3333333333333,1291.0,614.0,78.71428571428571,97.0,56.0,901.5714285714286,1360.0,504.0,0.9797979797979798,0.6155388471177945
2023-01-17,eastus,Container,96,1087,208,99.87,0.89,False,1,1,1,0,97.0,1228.0,65.0,1291.0,86.0,779.0,92.0,97.0,83.0,976.3333333333334,1228.0,614.0,80.14285714285714,97.0,56.0,945.5714285714286,1360.0,504.0,0.9696969696969697,0.5448621553884712
2023-01-18,eastus,Container,52,672,340,108.23,0.88,False,2,1,1,0,96.0,1087.0,83.0,614.0,56.0,535.0,81.66666666666667,97.0,52.0,995.6666666666666,1228.0,672.0,79.57142857142857,97.0,52.0,965.1428571428571,1360.0,504.0,0.5252525252525253,0.3368421052631579
2023-01-19,eastus,Container,64,1938,200,102.09,0.8,False,3,1,1,0,52.0,672.0,97.0,1228.0,93.0,504.0,70.66666666666667,96.0,52.0,1232.3333333333333,1938.0,672.0,75.42857142857143,97.0,52.0,1170.0,1938.0,614.0,0.6464646464646465,0.9714285714285714
2023-01-20,eastus,Container,54,949,209,86.72,1.02,False,4,1,1,0,64.0,1938.0,96.0,1087.0,71.0,1360.0,56.666666666666664,64.0,52.0,1186.3333333333333,1938.0,672.0,73.0,97.0,52.0,1111.2857142857142,1938.0,614.0,0.5454545454545454,0.4756892230576441
2023-01-21,eastus,Container,59,582,344,107.38,1.02,True,5,1,1,1,54.0,949.0,52.0,672.0,65.0,1291.0,59.0,64.0,54.0,1156.3333333333333,1938.0,582.0,72.14285714285714,97.0,52.0,1010.0,1938.0,582.0,0.5959595959595959,0.29172932330827067
2023-01-22,eastus,Container,86,1352,265,98.84,0.97,True,6,1,1,1,59.0,582.0,64.0,1938.0,83.0,614.0,66.33333333333333,86.0,54.0,961.0,1352.0,582.0,72.57142857142857,97.0,52.0,1115.4285714285713,1938.0,582.0,0.8686868686868687,0.6776942355889725
2023-01-23,eastus,Container,60,610,448,85.21,0.93,False,0,1,1,0,86.0,1352.0,54.0,949.0,97.0,1228.0,68.33333333333333,86.0,59.0,848.0,1352.0,582.0,67.28571428571429,96.0,52.0,1027.142857142857,1938.0,582.0,0.6060606060606061,0.3057644110275689
2023-01-24,eastus,Container,94,1596,481,95.39,1.11,False,1,1,1,0,60.0,610.0,59.0,582.0,96.0,1087.0,80.0,94.0,60.0,1186.0,1596.0,610.0,67.0,94.0,52.0,1099.857142857143,1938.0,582.0,0.9494949494949495,0.8
2023-01-25,eastus,Container,92,1797,493,103.44,0.82,False,2,1,1,0,94.0,1596.0,86.0,1352.0,52.0,672.0,82.0,94.0,60.0,1334.3333333333333,1797.0,610.0,72.71428571428571,94.0,54.0,1260.5714285714287,1938.0,582.0,0.9292929292929293,0.9007518796992481
2023-01-26,eastus,Container,68,924,300,103.24,0.96,False,3,1,1,0,92.0,1797.0,60.0,610.0,64.0,1938.0,84.66666666666667,94.0,68.0,1439.0,1797.0,924.0,73.28571428571429,94.0,54.0,1115.7142857142858,1797.0,582.0,0.6868686868686869,0.4631578947368421
2023-01-27,eastus,Container,98,1003,261,93.23,1.06,False,4,1,1,0,68.0,924.0,94.0,1596.0,54.0,949.0,86.0,98.0,68.0,1241.3333333333333,1797.0,924.0,79.57142857142857,98.0,59.0,1123.4285714285713,1797.0,582.0,0.98989898989899,0.5027568922305764
2023-01-28,eastus,Container,89,820,300,110.31,1.09,True,5,1,1,1,98.0,1003.0,92.0,1797.0,59.0,582.0,85.0,98.0,68.0,915.6666666666666,1003.0,820.0,83.85714285714286,98.0,60.0,1157.4285714285713,1797.0,610.0,0.898989898989899,0.41102756892230574
2023-01-29,eastus,Container,74,1565,288,91.61,0.97,True,6,1,1,1,89.0,820.0,68.0,924.0,86.0,1352.0,87.0,98.0,74.0,1129.3333333333333,1565.0,820.0,82.14285714285714,98.0,60.0,1187.857142857143,1797.0,610.0,0.7474747474747475,0.7844611528822055
2023-01-30,eastus,Container,86,1934,488,103.31,1.1,False,0,1,1,0,74.0,1565.0,98.0,1003.0,60.0,610.0,83.0,89.0,74.0,1439.6666666666667,1934.0,820.0,85.85714285714286,98.0,68.0,1377.0,1934.0,820.0,0.8686868686868687,0.9694235588972431
